Variable / Field Name,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record
record_id,1,2,,,,,,,,,,,,,,,,,,
name,Jack,Jill,,,,,,,,,,,,,,,,,,
email,jack@test.edu,jill@test.edu,,,,,,,,,,,,,,,,,,
text_validation_complete,,,,,,,,,,,,,,,,,,,,
ptname,,,,,,,,,,,,,,,,,,,,
bdate,,,,,,,,,,,,,,,,,,,,
role,,,,,,,,,,,,,,,,,,,,
notesbox,,,,,,,,,,,,,,,,,,,,
multiple_dropdown_auto,,,,,,,,,,,,,,,,,,,,
multiple_dropdown_manual,,,,,,,,,,,,,,,,,,,,
multiple_radio_auto,,,,,,,,,,,,,,,,,,,,
radio_button_manual,,,,,,,,,,,,,,,,,,,,
checkbox___1,,,,,,,,,,,,,,,,,,,,
checkbox___2,,,,,,,,,,,,,,,,,,,,
checkbox___3,,,,,,,,,,,,,,,,,,,,
required,,,,,,,,,,,,,,,,,,,,
identifier_ssn,,,,,,,,,,,,,,,,,,,,
identifier_phone,,,,,,,,,,,,,,,,,,,,
slider,,,,,,,,,,,,,,,,,,,,
date_time_hh_mm,,,,,,,,,,,,,,,,,,,,
date_time_hh_mm_ss,,,,,,,,,,,,,,,,,,,,
data_types_complete,,,,,,,,,,,,,,,,,,,,
data_dictionary_form_complete,,,,,,,,,,,,,,,,,,,,
phone,,,,,,,,,,,,,,,,,,,,
demo_branching_complete,,,,,,,,,,,,,,,,,,,,
